Title,Metascore
Knight and Day, 46
Cameraman: The Life and Work of Jack Cardiff, 71
Sex and Death 101, 24
April and the Extraordinary World, 85
Melinda and Melinda, 54
Alvin and the Chipmunks: Chipwrecked, 24
Flame and Citron, 74
Zack and Miri Make a Porno, 56
Music and Lyrics, 59
Judy Moody and the Not Bummer Summer, 37
Two Girls and a Guy, 66
Alvin and the Chipmunks: The Squeakquel, 41
The Squid and the Whale, 82
Rust and Bone, 73
And Now... Ladies and Gentlemen..., 54
The Young and Prodigious T.S. Spivet, 53
Dior and I, 70
The Prince and Me, 47
Balzac and the Little Chinese Seamstress, 65
Of Time and the City, 81
Alpha and Omega, 36
Game Over: Kasparov and the Machine, 66
"A Woman, a Gun and a Noodle Shop", 57
Chloe and Theo, 24
Fantastic Beasts and Where to Find Them, 66
...And They Lived Happily Ever After, 58
Catch and Release, 43
Indiana Jones and the Last Crusade, 65
Me and Orson Welles, 73
Oscar and Lucinda, 66
Witching and Bitching, 73
"Alexander and the Terrible, Horrible, No Good, Very Bad Day", 54
Tristram Shandy: A Cock and Bull Story, 80
Pride and Glory, 45
The Fast and the Furious, 58
Kubo and the Two Strings, 84
Terms and Conditions May Apply, 68
Agnes and His Brothers, 46
Captain Pantoja and the Special Services, 51
"The Good, the Bad and the Ugly", 90
Rivers and Tides: Andy Goldsworthy Working with Time, 82
The King and the Mockingbird, 87
Dona Flor and Her Two Husbands, 52
Words and Pictures, 49
The Princess and the Warrior, 64
Snow Flower and the Secret Fan, 42
Lost and Delirious, 53
Love and Other Impossible Pursuits, 37
Me and You, 57
Beauty and the Beast, 95
Pride and Prejudice and Zombies, 45
Ramona and Beezus, 56
Burke and Hare, 46
The Devil and Daniel Johnston, 77
Arthur and the Invisibles, 39
Come Out and Play, 44
Pauline and Paulette, 70
Sex and the City 2, 27
Cutie and the Boxer, 83
Sex and Lucia, 65
Biggie and Tupac, 63
An Officer and a Gentleman, 75
Tucker and Dale vs Evil, 65
The Artist and the Model, 53
Bright Lights: Starring Carrie Fisher and Debbie Reynolds, 78
Charlie and the Chocolate Factory, 72
Lars and the Real Girl, 70
Nico and Dani, 59
Anna and the King, 56
Hannah and Her Sisters, 90
"Good Night, and Good Luck.", 80
Coffee and Cigarettes, 65
Hit and Run, 50
Masked and Anonymous, 32
Connie and Carla, 44
Love and Death on Long Island, 80
Alvin and the Chipmunks, 39
Kicking and Screaming, 75
Love and Honor, 28
Blood and Chocolate, 33
Games of Love and Chance, 71
Dogtown and Z-Boys, 76
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", 75
Boy and the World, 80
Sweet and Lowdown, 70
Charlie: The Life and Art of Charles Chaplin, 80
Walking and Talking, 67
City of Life and Death, 85
The 100 Year-Old Man Who Climbed Out the Window and Disappeared, 58
Mothers and Daughters, 29
Josie and the Pussycats, 47
Roman Polanski: Wanted and Desired, 78
Bread and Roses, 57
Aileen: Life and Death of a Serial Killer, 71
Outlaws and Angels, 40
Peter and Vandy, 44
Down and Dangerous, 43
Death and the Maiden, 72
"Lo and Behold, Reveries of the Connected World", 76
Master and Commander: The Far Side of the World, 81
Harry Potter and the Chamber of Secrets, 63
Boys and Girls, 29
Up and Down, 78
Jay and Silent Bob Strike Back, 51
Dumb and Dumberer: When Harry Met Lloyd, 19
Harry Potter and the Order of the Phoenix, 71
Travelers and Magicians, 71
Sky Captain and the World of Tomorrow, 64
Swallows and Amazons, 66
Jem and the Holograms, 42
Oz the Great and Powerful, 44
The Adventures of Sharkboy and Lavagirl 3-D, 38
Tucker: The Man and His Dream, 74
Oranges and Sunshine, 60
One and Two, 47
Observe and Report, 54
Dumb and Dumber To, 36
"4 Months, 3 Weeks and 2 Days", 97
Gods and Monsters, 74
The Diving Bell and the Butterfly, 92
Fun with Dick and Jane, 47
Mugabe and the White African, 77
Time and Tide, 60
Bonnie and Clyde, 81
Mother and Child, 64
The Best and the Brightest, 26
The Emperor and the Assassin, 75
God Is Great and I'm Not, 37
Romy and Michele's High School Reunion, 59
Bread and Tulips, 68
Indiana Jones and the Temple of Doom, 57
Warriors of Heaven and Earth, 54
Down and Out in Beverly Hills, 82
House of Sand and Fog, 71
Tim and Eric's Billion Dollar Movie, 40
Stoked: The Rise and Fall of Gator, 69
Jonestown: The Life and Death of Peoples Temple, 79
Shut Up and Play the Hits, 72
My Flesh and Blood, 78
The Quick and the Dead, 49
Four Weddings and a Funeral, 81
The Lady and the Duke, 72
Hearts and Minds, 68
Midnight in the Garden of Good and Evil, 57
And While We Were Here, 48
"Spring, Summer, Fall, Winter... and Spring", 85
Stuff and Dough, 76
Dazed and Confused, 78
The Ballad of Jack and Rose, 59
Me and You and Everyone We Know, 76
Land and Shade, 74
Casino Jack and the United States of Money, 68
And Everything Is Going Fine, 76
Sex and the City, 53
Nick and Norah's Infinite Playlist, 64
Syndromes and a Century, 71
My One and Only, 62
Alice and Martin, 68
Harry Potter and the Goblet of Fire, 81
Hide and Seek, 35
Hedwig and the Angry Inch, 85
Thomas and the Magic Railroad, 19
Crimes and Misdemeanors, 77
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers, 75
Breaking and Entering, 56
Far and Away, 49
Going Clear: Scientology and the Prison of Belief, 80
In the Land of Blood and Honey, 56
Hilary and Jackie, 78
Of Horses and Men, 74
Harry and the Hendersons, 41
Ziggy Stardust and the Spiders from Mars, 58
Clear and Present Danger, 74
Exodus: Gods and Kings, 52
The Filth and the Fury, 82
How to Rob a Bank (and 10 Tips to Actually Get Away with It), 27
Harry Potter and the Prisoner of Azkaban, 82
Ali and Nino, 50
State and Main, 75
High Heels and Low Lifes, 39
Me and Earl and the Dying Girl, 74
Art and Craft, 68
The Princess and the Frog, 73
Father and Son, 64
Client 9: The Rise and Fall of Eliot Spitzer, 68
3-D Sex and Zen: Extreme Ecstasy, 36
Mrs. Parker and the Vicious Circle, 66
The Fast and the Furious: Tokyo Drift, 46
Harry Potter and the Sorcerer's Stone, 64
Friends and Family, 36
Jack and Jill, 23
"Sex, Lies, and Videotape", 86
And So It Goes, 38
Shark Skin Man and Peach Hip Girl, 44
Hell and Back Again, 81
The Boy and the Beast, 65
Here and There, 57
Butch Cassidy and the Sundance Kid, 58
Thunder and the House of Magic, 47
Gods and Generals, 30
Rocco and His Brothers, 84
Harry Potter and the Deathly Hallows: Part 2, 87
Of Gods and Men, 86
Fanny and Alexander, 100
The Sorcerer and the White Snake, 41
"Pulp: A Film About Life, Death and Supermarkets", 62
Date and Switch, 56
Saints and Soldiers, 56
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 96
"Lock, Stock and Two Smoking Barrels", 66
Guys and Balls, 60
Gonzo: The Life and Work of Dr. Hunter S. Thompson, 73
Miss Congeniality 2: Armed and Fabulous, 34
Indiana Jones and the Kingdom of the Crystal Skull, 65
40 Days and 40 Nights, 53
Hector and the Search for Happiness, 29
Jack and the Cuckoo-Clock Heart, 56
Daniel and Ana, 43
Tinker Bell and the Legend of the NeverBeast, 52
Mr. and Mrs. Iyer, 50
Harry Potter and the Deathly Hallows: Part 1, 65
Alvin and the Chipmunks: The Road Chip, 33
Harry Potter and the Half-Blood Prince, 78
Monty Python and the Holy Grail, 90
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?), 68
